CategoryID,CategoryName,Description,CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,EmployeeID,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address2,City3,Region4,PostalCode5,Country6,HomePhone,Extension,Notes,ReportsTo,OrderID,ProductID,UnitPrice,Quantity,Discount,OrderID7,CustomerID8,EmployeeID9,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ProductID10,ProductName,SupplierID,CategoryID11,QuantityPerUnit,UnitPrice12,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,ShipperID,CompanyName13,Phone14,SupplierID15,CompanyName16,ContactName17,ContactTitle18,Address19,City20,Region21,PostalCode22,Country23,Phone24,Fax25,HomePage,Value
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,,3,Leverling,Janet,Sales Representative,Ms.,8/30/1963 0:00,4/1/1992 0:00,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,10817,38,263.5,30,0,10817,KOENE,3,2/6/1996 0:00,2/20/1996 0:00,2/13/1996 0:00,2,306.07,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,2,United Package,(503) 555-3199,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,7905
6,Meat/Poultry,Prepared meats,SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,7,King,Robert,Sales Representative,Mr.,5/29/1960 0:00,1/2/1994 0:00,"Edgeham Hollow
Winchester Way",London,,RG1 9SP,UK,(71) 555-5598,465,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled ""Selling in Europe,"" he was transferred to the London office in March 1993.",5,11030,29,123.79,60,0.25,11030,SAVEA,7,5/17/1996 0:00,6/14/1996 0:00,5/27/1996 0:00,2,830.75,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,2,United Package,(503) 555-3199,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,7427.4
7,Produce,Dried fruit and bean curd,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,1,Davolio,Nancy,Sales Representative,Ms.,12/8/1948 0:00,5/1/1992 0:00,"507 - 20th Ave. E.
Apt. 2A",Seattle,WA,98122,USA,(206) 555-9857,5467,"Education includes a BA in psychology from Colorado State University in 1970.  She also completed ""The Art of the Cold Call.""  Nancy is a member of Toastmasters International.",2,10776,51,53,120,0.050000001,10776,ERNSH,1,1/15/1996 0:00,2/12/1996 0:00,1/18/1996 0:00,3,351.53,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,51,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53,20,0,10,0,3,Federal Shipping,(503) 555-9931,24,"G'day, Mate",Wendy Mackenzie,Sales Representative,"170 Prince Edward Parade
Hunter's Hill",Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,6360
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,3,Leverling,Janet,Sales Representative,Ms.,8/30/1963 0:00,4/1/1992 0:00,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,3355,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,10479,38,210.8,30,0,10479,RATTC,3,4/19/1995 0:00,5/17/1995 0:00,4/21/1995 0:00,3,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,3,Federal Shipping,(503) 555-9931,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,6324
6,Meat/Poultry,Prepared meats,FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,,S-844 67,Sweden,0695-34 67 21,,7,King,Robert,Sales Representative,Mr.,5/29/1960 0:00,1/2/1994 0:00,"Edgeham Hollow
Winchester Way",London,,RG1 9SP,UK,(71) 555-5598,465,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled ""Selling in Europe,"" he was transferred to the London office in March 1993.",5,10993,29,123.79,50,0.25,10993,FOLKO,7,5/1/1996 0:00,5/29/1996 0:00,5/10/1996 0:00,3,8.81,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,3,Federal Shipping,(503) 555-9931,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,6189.5
4,Dairy Products,Cheeses,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,9,Dodsworth,Anne,Sales Representative,Ms.,1/27/1966 0:00,11/15/1994 0:00,7 Houndstooth Rd.,London,,WG2 7LT,UK,(71) 555-4444,452,Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.,5,11017,59,55,110,0,11017,ERNSH,9,5/13/1996 0:00,6/10/1996 0:00,5/20/1996 0:00,2,754.26,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,59,Raclette Courdavault,28,4,5 kg pkg.,55,79,0,0,0,2,United Package,(503) 555-3199,28,Gai pâturage,Eliane Noz,Sales Representative,"Bat. B
3, rue des Alpes",Annecy,,74000,France,38.76.98.06,38.76.98.58,,6050
4,Dairy Products,Cheeses,SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,7,King,Robert,Sales Representative,Mr.,5/29/1960 0:00,1/2/1994 0:00,"Edgeham Hollow
Winchester Way",London,,RG1 9SP,UK,(71) 555-5598,465,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled ""Selling in Europe,"" he was transferred to the London office in March 1993.",5,11030,59,55,100,0.25,11030,SAVEA,7,5/17/1996 0:00,6/14/1996 0:00,5/27/1996 0:00,2,830.75,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,59,Raclette Courdavault,28,4,5 kg pkg.,55,79,0,0,0,2,United Package,(503) 555-3199,28,Gai pâturage,Eliane Noz,Sales Representative,"Bat. B
3, rue des Alpes",Annecy,,74000,France,38.76.98.06,38.76.98.58,,5500
6,Meat/Poultry,Prepared meats,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333,9,Dodsworth,Anne,Sales Representative,Ms.,1/27/1966 0:00,11/15/1994 0:00,7 Houndstooth Rd.,London,,WG2 7LT,UK,(71) 555-4444,452,Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.,5,10687,9,97,50,0.25,10687,HUNGO,9,10/31/1995 0:00,11/28/1995 0:00,11/30/1995 0:00,2,296.43,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,9,Mishi Kobe Niku,4,6,18 - 500 g pkgs.,97,29,0,0,1,2,United Package,(503) 555-3199,4,Tokyo Traders,Yoshi Nagase,Marketing Manager,"9-8 Sekimai
Musashino-shi",Tokyo,,100,Japan,(03) 3555-5011,,,4850
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,01307,Germany,0372-035188,,2,Fuller,Andrew,"Vice President, Sales",Dr.,2/19/1952 0:00,8/14/1992 0:00,908 W. Capital Way,Tacoma,WA,98401,USA,(206) 555-9482,3457,"Andrew received his BTS commercial in 1974 and a Ph.D. in international marketing from the University of Dallas in 1981.  He is fluent in French and Italian and reads German.  He joined the company as a sales representative, was promoted to sales manager in January 1992 and to vice president of sales in March 1993.  Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",,10691,1,18,30,0,10691,QUICK,2,11/3/1995 0:00,12/15/1995 0:00,11/22/1995 0:00,2,810.05,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,1,Chai,1,1,10 boxes x 20 bags,18,39,0,10,0,2,United Package,(503) 555-3199,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,540
6,Meat/Poultry,Prepared meats,SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,,6,Suyama,Michael,Sales Representative,Mr.,7/2/1963 0:00,10/17/1993 0:00,"Coventry House
Miner Rd.",London,,EC2 7JR,UK,(71) 555-7773,428,"Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses ""Multi-Cultural Selling"" and ""Time Management for the Sales Professional.""  He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",5,10510,29,123.79,36,0,10510,SAVEA,6,5/19/1995 0:00,6/16/1995 0:00,5/29/1995 0:00,3,367.63,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,3,Federal Shipping,(503) 555-9931,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,4456.44
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,8,Callahan,Laura,Inside Sales Coordinator,Ms.,1/9/1958 0:00,3/5/1994 0:00,4726 - 11th Ave. N.E.,Seattle,WA,98105,USA,(206) 555-1189,2344,Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.,2,10729,1,18,50,0,10729,LINOD,8,12/5/1995 0:00,1/16/1996 0:00,12/15/1995 0:00,3,141.06,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,1,Chai,1,1,10 boxes x 20 bags,18,39,0,10,0,3,Federal Shipping,(503) 555-9931,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,900
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",NORTS,North/South,Simon Crowther,Sales Associate,"South House
300 Queensbridge",London,,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530,2,Fuller,Andrew,"Vice President, Sales",Dr.,2/19/1952 0:00,8/14/1992 0:00,908 W. Capital Way,Tacoma,WA,98401,USA,(206) 555-9482,3457,"Andrew received his BTS commercial in 1974 and a Ph.D. in international marketing from the University of Dallas in 1981.  He is fluent in French and Italian and reads German.  He joined the company as a sales representative, was promoted to sales manager in January 1992 and to vice president of sales in March 1993.  Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",,10752,1,18,8,0,10752,NORTS,2,12/25/1995 0:00,1/22/1996 0:00,12/29/1995 0:00,3,1.39,North/South,"South House
300 Queensbridge",London,,SW7 1RZ,UK,1,Chai,1,1,10 boxes x 20 bags,18,39,0,10,0,3,Federal Shipping,(503) 555-9931,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,144
6,Meat/Poultry,Prepared meats,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,,1203,Switzerland,0897-034214,,7,King,Robert,Sales Representative,Mr.,5/29/1960 0:00,1/2/1994 0:00,"Edgeham Hollow
Winchester Way",London,,RG1 9SP,UK,(71) 555-5598,465,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled ""Selling in Europe,"" he was transferred to the London office in March 1993.",5,10666,29,123.79,36,0,10666,RICSU,7,10/13/1995 0:00,11/10/1995 0:00,10/23/1995 0:00,2,232.42,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,2,United Package,(503) 555-3199,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,4456.44
5,Grains/Cereals,"Breads, crackers, pasta, and cereal",ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,4,Peacock,Margaret,Sales Representative,Mrs.,9/19/1937 0:00,5/3/1993 0:00,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.,2,11072,64,33.25,130,0,11072,ERNSH,4,6/4/1996 0:00,7/2/1996 0:00,,2,258.64,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,2,United Package,(503) 555-3199,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,4322.5
1,Beverages,"Soft drinks, coffees, teas, beers, and ales",SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525,4,Peacock,Margaret,Sales Representative,Mrs.,9/19/1937 0:00,5/3/1993 0:00,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,5176,Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.,2,10329,38,210.8,20,0.050000001,10329,SPLIR,4,11/15/1994 0:00,12/27/1994 0:00,11/23/1994 0:00,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,17,0,15,0,2,United Package,(503) 555-3199,18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,4216
